Date,Open,High,Low,Close,Adj Close,Volume
2020-09-07,56100.000000,57300.000000,55800.000000,56500.000000,54293.320313,18685880
2020-09-08,57400.000000,58700.000000,57200.000000,58700.000000,56407.398438,31517520
2020-09-09,58200.000000,59300.000000,57800.000000,58400.000000,56119.109375,30597399
2020-09-10,59900.000000,60000.000000,59100.000000,59200.000000,56887.863281,29923293
2020-09-11,59300.000000,59400.000000,58200.000000,59000.000000,56695.679688,16017098
2020-09-14,60200.000000,60800.000000,59900.000000,60400.000000,58040.996094,20648281
2020-09-15,60900.000000,61000.000000,60500.000000,61000.000000,58617.562500,17877075
2020-09-16,61100.000000,61300.000000,60600.000000,61000.000000,58617.562500,17041444
2020-09-17,60700.000000,60800.000000,59300.000000,59500.000000,57176.148438,25108356
2020-09-18,59800.000000,59900.000000,59100.000000,59300.000000,56983.957031,18884571
2020-09-21,59100.000000,60000.000000,59000.000000,59200.000000,56887.863281,15140387
2020-09-22,59100.000000,59700.000000,57800.000000,58200.000000,55926.921875,20830381
2020-09-23,58400.000000,58800.000000,57400.000000,58600.000000,56311.296875,20111398
2020-09-24,57700.000000,58600.000000,57600.000000,57800.000000,55542.542969,17564020
2020-09-25,57700.000000,58200.000000,57700.000000,57900.000000,55638.636719,11444683
2020-09-28,58300.000000,58800.000000,57900.000000,58200.000000,56270.960938,12614080
2020-09-29,58300.000000,59000.000000,58200.000000,58200.000000,56270.960938,15503563
2020-10-05,57500.000000,59200.000000,57500.000000,58700.000000,56754.390625,20228289
2020-10-06,59400.000000,59900.000000,58700.000000,59000.000000,57044.449219,14463826
2020-10-07,58700.000000,59900.000000,58500.000000,59900.000000,57914.617188,14861838
2020-10-08,60500.000000,60700.000000,59500.000000,59700.000000,57721.246094,24589924
2020-10-12,60000.000000,60400.000000,59900.000000,60400.000000,58398.042969,16145837
2020-10-13,61000.000000,61400.000000,60400.000000,60900.000000,58881.468750,19247631
2020-10-14,61000.000000,61100.000000,60500.000000,60900.000000,58881.468750,16086716
2020-10-15,60700.000000,60800.000000,59700.000000,60000.000000,58011.300781,17756232
2020-10-16,60000.000000,60400.000000,59000.000000,59500.000000,57527.871094,16554190
2020-10-19,59600.000000,60200.000000,59500.000000,60000.000000,58011.300781,14474985
2020-10-20,60300.000000,60900.000000,60100.000000,60900.000000,58881.468750,19326115
2020-10-21,61200.000000,61500.000000,60600.000000,60900.000000,58881.468750,15703443
2020-10-22,60300.000000,60500.000000,59800.000000,60100.000000,58107.988281,14294095
2020-10-23,60400.000000,60400.000000,59800.000000,60200.000000,58204.671875,9322232
2020-10-26,60400.000000,61100.000000,60100.000000,60400.000000,58398.042969,13268226
2020-10-27,60300.000000,60300.000000,59500.000000,59800.000000,57817.929688,17260416
2020-10-28,59400.000000,59400.000000,58800.000000,59000.000000,57044.449219,14428882
